Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.2.7,Quantity of food provided unconditionally or to restore infrastructure and community assets,N/A,FALSE,N/A,Output,APR & ACR,Food,5,30,46776,35856,77%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.2.8,Quantity of food provided to people and communities through actions to protect against climate shocks,N/A,FALSE,N/A,Output,ACR,Food,1,1,0,4,N/A
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.2.2,Quantity of food provided to nutritionally vulnerable people through malnutrition treatment and prevention programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,2,2,5,244,4836%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.2.3,Quantity of food provided to girls and boys through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,1,47,22728,17341,76%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.2.5,Quantity of food provided to people and communities through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,Food,2,9,2274,649,29%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.2.6,Quantity of food provided to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,Food,3,12,3950,3577,91%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.2.7,Quantity of food provided unconditionally or to restore infrastructure and community assets,N/A,FALSE,N/A,Output,APR & ACR,Food,4,23,23058,6941,30%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.2.2,Quantity of food provided to nutritionally vulnerable people through malnutrition treatment and prevention programmes,N/A,TRUE,N/A,Output,APR & ACR,Food,36,288,236749,72130,30%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.2.3,Quantity of food provided to girls and boys through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,2,12,2959,2523,85%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.2.2,Quantity of food provided to nutritionally vulnerable people through malnutrition treatment and prevention programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,1,6,0,138,N/A
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.2.3,Quantity of food provided to girls and boys through school-based programmes,N/A,TRUE,N/A,Output,APR & ACR,Food,33,300,270331,153010,57%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.2.4,Quantity of food provided to girls and boys through emergency school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,1,19,13479,3576,27%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.2.6,Quantity of food provided to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,Food,1,5,1061,9,1%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.2.2,Quantity of food provided to nutritionally vulnerable people through malnutrition treatment and prevention programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,1,4,721,163,23%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.2.3,Quantity of food provided to girls and boys through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,2,5,0,32,N/A
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.2.5,Quantity of food provided to people and communities through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,Food,1,2,594,0,0%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.2.6,Quantity of food provided to people enrolled in food assistance for assets activities,N/A,TRUE,N/A,Output,APR & ACR,Food,17,113,113059,22889,20%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.2.7,Quantity of food provided unconditionally or to restore infrastructure and community assets,N/A,FALSE,N/A,Output,APR & ACR,Food,1,6,3822,3116,82%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.2.5,Quantity of food provided to people and communities through livelihood skills training activities,N/A,TRUE,N/A,Output,APR & ACR,Food,2,5,4168,0,0%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.2.6,Quantity of food provided to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,Food,2,4,41954,0,0%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.2.3,Quantity of food provided to girls and boys through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,8,55,36362,18880,52%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.2.2,Quantity of food provided to nutritionally vulnerable people through malnutrition treatment and prevention programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,1,1,2,0,0%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.2.3,Quantity of food provided to girls and boys through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,1,1,378,190,50%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.2.5,Quantity of food provided to people and communities through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,Food,1,5,8,0,0%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.2.6,Quantity of food provided to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,Food,1,2,1744,1046,60%
Resources transferred,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",A.2.3,Quantity of food provided to girls and boys through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Food,2,15,5154,2308,45%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,72,1267,6953898,3078140,44%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,29,366,552713,245435,44%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,TRUE,N/A,Output,APR & ACR,Food,6,93,52015,28752,55%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,36,300,239708,74653,31%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,34,330,284872,156734,55%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,17,130,118197,26201,22%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,3,9,46121,0,0%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,8,55,36362,18880,52%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,4,9,2132,1236,58%
Resources transferred,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",A.2.1,Quantity of food provided through conditional or unconditional assistance,N/A,FALSE,N/A,Output,APR & ACR,Food,2,15,5154,2308,45%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.3.2,Total value of cash transferred to family members of girls and boys benefiting from school-based programmes,N/A,TRUE,N/A,Output,APR & ACR,CBT,6,6,3311086,281414,8%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.3.3,Total value of cash transferred to people through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,7,7,34785611,15499877,45%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.3.4,Total value of cash transferred to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,18,18,199869436,52288747,26%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.3.5,Total value of cash transferred to people through actions to protect against Climate Shocks,N/A,FALSE,N/A,Output,ACR,CBT,5,5,2140596,662826,31%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.4.2,Total value of vouchers (value voucher or commodity voucher) transferred to family members of girls and boys benefiting from school‑based programmes,N/A,TRUE,N/A,Output,APR & ACR,CBT,6,8,91238755,8918324,10%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.4.3,Total value of vouchers transferred to people enrolled in food assistance for assets activities disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,5,8,12211222,997933,8%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.3.5,Total value of cash transferred to people through actions to protect against Climate Shocks,N/A,FALSE,N/A,Output,ACR,CBT,1,1,1239807,0,0%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.4.2,Total value of vouchers (value voucher or commodity voucher) transferred to family members of girls and boys benefiting from school‑based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,0,349436,N/A
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.3.2,Total value of cash transferred to family members of girls and boys benefiting from school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,123200,0,0%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.3.3,Total value of cash transferred to people through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,2,2,20746296,723039,3%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.3.4,Total value of cash transferred to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,4,4,6209160,1349721,22%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.3.5,Total value of cash transferred to people through actions to protect against Climate Shocks,N/A,FALSE,N/A,Output,ACR,CBT,3,3,4121213,441096,11%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.4.2,Total value of vouchers (value voucher or commodity voucher) transferred to family members of girls and boys benefiting from school‑based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,2,5,11970946,602801,5%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.4.3,Total value of vouchers transferred to people enrolled in food assistance for assets activities disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,0,24181,N/A
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.3.2,Total value of cash transferred to family members of girls and boys benefiting from school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,18,26,77614882,31643339,41%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.3.4,Total value of cash transferred to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,540000,2400,0%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.4.2,Total value of vouchers (value voucher or commodity voucher) transferred to family members of girls and boys benefiting from school‑based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,18,19,91184026,33594856,37%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.4.3,Total value of vouchers transferred to people enrolled in food assistance for assets activities disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,0,172500,N/A
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.3.3,Total value of cash transferred to people through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,8,8,9497115,8596369,91%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.3.4,Total value of cash transferred to people enrolled in food assistance for assets activities,N/A,TRUE,N/A,Output,APR & ACR,CBT,31,31,397244247,106173219,27%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.3.5,Total value of cash transferred to people through actions to protect against Climate Shocks,N/A,FALSE,N/A,Output,ACR,CBT,6,7,20877658,3171664,15%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.4.2,Total value of vouchers (value voucher or commodity voucher) transferred to family members of girls and boys benefiting from school‑based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,504000,0,0%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.4.3,Total value of vouchers transferred to people enrolled in food assistance for assets activities disaggregated by type (value voucher or commodity voucher),N/A,TRUE,N/A,Output,APR & ACR,CBT,7,8,80881803,3755107,5%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.3.3,Total value of cash transferred to people through livelihood skills training activities,N/A,TRUE,N/A,Output,APR & ACR,CBT,7,7,18435335,2915460,16%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.3.4,Total value of cash transferred to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,7,8,51180567,15967879,31%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.3.5,Total value of cash transferred to people through actions to protect against Climate Shocks,N/A,FALSE,N/A,Output,ACR,CBT,7,8,12605456,4101232,33%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.4.3,Total value of vouchers transferred to people enrolled in food assistance for assets activities disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,2,3,38334389,3308103,9%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.3.2,Total value of cash transferred to family members of girls and boys benefiting from school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,4,4,868882,5540120,638%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.3.4,Total value of cash transferred to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,3,3,2600896,789777,30%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.4.2,Total value of vouchers (value voucher or commodity voucher) transferred to family members of girls and boys benefiting from school‑based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,4,4,16423410,7503917,46%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.3.2,Total value of cash transferred to family members of girls and boys benefiting from school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,23998000,260733,1%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.3.3,Total value of cash transferred to people through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,2,2,455400,645774,142%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.3.4,Total value of cash transferred to people enrolled in food assistance for assets activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,2,2,2280000,281248,12%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.4.2,Total value of vouchers (value voucher or commodity voucher) transferred to family members of girls and boys benefiting from school‑based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,3,5,39560465,20223631,51%
Resources transferred,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",A.3.2,Total value of cash transferred to family members of girls and boys benefiting from school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,4067170,1319399,32%
Resources transferred,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",A.3.3,Total value of cash transferred to people through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,CBT,1,1,3494453,0,0%
Resources transferred,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",A.3.5,Total value of cash transferred to people through actions to protect against Climate Shocks,N/A,FALSE,N/A,Output,ACR,CBT,1,1,348082,22361,6%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.3.1,Total value of cash transferred to people,N/A,TRUE,N/A,Output,APR & ACR,CBT,68,119,3227699301,1445604815,45%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,TRUE,N/A,Output,APR & ACR,CBT,44,78,1711512525,755669816,44%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,8,9,9555643,1700921,18%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,TRUE,N/A,Output,APR & ACR,CBT,8,12,45144184,12642874,28%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,15,25,420483156,210863702,50%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,TRUE,N/A,Output,APR & ACR,CBT,7,19,63243074,50398501,80%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,14,22,75331985,15838717,21%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,TRUE,N/A,Output,APR & ACR,CBT,15,21,131914337,32865472,25%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,18,28,80077282,31645739,40%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,TRUE,N/A,Output,APR & ACR,CBT,18,20,91184026,33767356,37%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,33,49,438730743,124851454,28%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,17,22,87757144,6014561,7%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,16,25,83058856,22984571,28%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,8,12,61400271,5938872,10%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,7,8,3613509,6341298,175%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,6,7,16675474,7573525,45%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,5,7,162303639,25888992,16%
Resources transferred,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,3,5,39560465,20223631,51%
Resources transferred,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",A.3.1,Total value of cash transferred to people,N/A,FALSE,N/A,Output,APR & ACR,CBT,4,5,21129548,5431270,26%
Resources transferred,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",A.4.1,Total value of vouchers transferred to people disaggregated by type (value voucher or commodity voucher),N/A,FALSE,N/A,Output,APR & ACR,CBT,2,2,253700,33057,13%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.2.9,Quantity of food provided to schools through Home-Grown School-Based Programmes,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,1,3,387,3297,851%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.2.9,Quantity of food provided to schools through Home-Grown School-Based Programmes,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,3,6,6590,642,10%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.1.2,Quantity of fortified food provided to treat or prevent malnutrition,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,1,10,161,164,102%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.1.2,Quantity of fortified food provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,7,36,321,222,69%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.1.3,Quantity of fortified food provided for girls and boys benefiting from school-based programming,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,5,16,1674,129,8%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.1.4,Quantity of fortified food provided for girls and boys benefiting from emergency school-based programming,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,3,14,2429,1002,41%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.1.4,Quantity of fortified food provided for girls and boys benefiting from emergency school-based programming,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,7,19,1625,635,39%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,22,76,1219955,608813,50%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.1.5,Quantity of fortified food provided unconditionally or to restore infrastructure and community assets,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,51,288,265709,755372,284%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,7,11,829,70,8%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",B.2.1,Quantity of specialized nutritious foods provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,20,97,22525,15132,67%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.2,Quantity of fortified food provided to treat or prevent malnutrition,N/A,FALSE,N/A,Output,APR & ACR,NutriousFood,4,12,7,36,491%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",B.1.2,Quantity of fortified food provided to treat or prevent malnutrition,N/A,TRUE,N/A,Output,APR & ACR,NutriousFood,16,93,3311,1124,34%
